date,opponent,location,home,conference,result,tournament,tripId,travelMode,lat,lng
Sep 5,Auburn,"Atlanta, GA",FALSE,FALSE,,,,tbd,,
Sep 12,Prairie View A&M,"Waco, TX",TRUE,FALSE,,,,,,
Sep 19,Louisiana Tech,"Waco, TX",TRUE,FALSE,,,,,,
Sep 26,Colorado,"Waco, TX",TRUE,TRUE,,,,,,
Oct 3,Arizona State,"Tempe, AZ",FALSE,TRUE,,,,tbd,,
Oct 17,TCU,"Waco, TX",TRUE,TRUE,,,,,,
Oct 24,Kansas,"Lawrence, KS",FALSE,TRUE,,,,tbd,,
Oct 30,UCF,"Orlando, FL",FALSE,TRUE,,,,tbd,,
Nov 7,Iowa State,"Waco, TX",TRUE,TRUE,,,,,,
Nov 14,BYU,"Provo, UT",FALSE,TRUE,,,,tbd,,
Nov 21,Texas Tech,"Waco, TX",TRUE,TRUE,,,,,,
Nov 28,Houston,"Houston, TX",FALSE,TRUE,,,,tbd,,
Dec 4,Big 12 Championship,"Arlington, TX",FALSE,FALSE,,,,tbd,,
